,text,friend_count,level_b,RT,length
0, <user>: We are so thankful to the <user> for their generous award to our Chapter President <user> last month. ,62,0,1,19
1," <user>: I trust Trump will cease to exist in my lifetime. During my most recent visit to my doctor, she asked me if I had a me",5001,0,1,27
2," <user>: They're so mad at Megan for liking anime because they still havent healed from their middle school wounds. 

Sir...an",1028,0,1,20
3, <user>: I like presidents who weren't impeached for abuse of power and obstruction.,3254,0,1,13
4, <user>: Gretel Killeen held her own against a bullying Chris Smith on the <num> networks Sunrise recently which was really quite admirable,129,0,1,22
5," <user>: TROS SPOILERS
-
-
HOW can you have scenes where a woman is visibly SCARED of a man not even in a battle scene but where",38,0,1,27
6," <user>: nickcado bullied and manipulated stephanie soo, a person who trusted him, made her break down at 7am because he scared",52,0,1,21
7,"Who wanna help me to cum ? 🤤🤤
ayakfetisi jerking cum feet toes pasif ayak footjob footfetish  horny… https://t.co/7pIFV7IkcU",64,0,0,19
8," <user>: Q3738
NSA Director Rogers Disclosed FISA Abuse Days After Page Warrant Was Issued.
Something BIG is coming.
Q
AG Lynch &amp; Dep",4998,0,1,23
9," <user>: PASTOR sentenced to OVER <num>,<num> YEARS in PRISON
for SEX ABUSE of <num> BOYS, ages <num> to <num>

Youth evangelist Paul Bowens c…",4452,0,1,24
10,You people arent INDIAN,12,0,0,4
11,not hyunee too:/ what the fuck,200,0,0,6
12,"Ehh!?? No, wait a second- Is this a new kind of bullying?! Why is it me?!",684,0,0,16
13, <user>: Child abuse. https://t.co/svY4boP46L,286,0,1,4
14," <user>: We should stop calling them ""Pro-Trump"" rallies. 

We should call them ""Pro-Nationalism, White Supremacy, Homophobia",309,0,1,16
15,one of the bitches who bullied me in high school is at the bar tonight and she said hi to me. should i start a bar fight.,148,0,0,27
16," <user>: It only took cheating on every wife, grabbing women by the pussy, multiple rape allegations, calling Mexicans rapists, havin",292,0,1,20
17, <user>: Her character development and growth despite struggling from mental illness and past abuse is one of my favorite story arcs,736,0,1,21
18,Imagine bullying someone just because of a horrible edit she made. She's beginner ffs. Meanwhile some of y'all mf https://t.co/b6Y5d9XqBP,106,0,0,20
19," <user>: The smartest people I've ever met never went to college. Some never even graduated high school.

The absolute dumbest people…",319,0,1,21
20, <user>: We have been able to obtain the details and address of this violent woman and this child abuse will not go unpunished. <user>,1387,0,1,24
21,NSA Director Rogers Disclosed FISA Abuse Days After Page Warrant Was Issued https://t.co/m195ZhvEZ0 via <user>,323,0,0,13
22,This Bills game was stepping on to the playground ready to knock out the school bully only to have him slap you too https://t.co/GuRapCC7yI,797,0,0,24
23," <user>: I receive death threats, almost daily, from members of your party, Angela. https://t.co/DW0LZGsPZd",281,0,1,14
24," <user>: I can't sleep guys

Thinking Sidharth situation

I really can't sleep

I just want to call all the abuse words in this world t…",585,0,1,25
25,<user> <user> Dooon't do that. Just leave them alone. Cyber bullying won't do anything https://t.co/1Nmz3VFcHU,132,0,0,15
26," <user>: Utah boy bullied by teacher for being adopted by two men, classmates defend him and report the teacher to the principal ",1924,0,1,22
27, <user>: That's the way how hkpolice bully and swear at ordinary citizens in policestatehk. PoliceBrutality https://t.co/4zGQsBgYfl,931,0,1,16
28," <user>: The investigation reveals more than <num> allegations of sexual assault or abuse, inadequate medical care, regular hunger strike",903,0,1,19
29, <user>: My lips not ashy Shay Sharp yours just burnt from the Black &amp; Milds stop tryna bully me. https://t.co/4akcASzjdp,191,0,1,20
30,<user> <user> <user> <user> <user> <user> <user> no evidence of any of… https://t.co/4hdcK2f5Rg,240,0,0,13
31," <user>: What Rawling and the rest of the so called 'gender critical feminist' want in the UK. With women, minorities, LGBTI people",193,0,1,22
32,"<user> Jaguars crime boss abuses his family, violent, puts them into criminal situations, controls all they d… https://t.co/eBaMNFA3v3",2392,0,0,18
